100284	2011-11-28	1 3 4		1												3											4						8	2:1
100285	2011-11-29	0 4 2	0														4								2								6	0:3
100286	2011-11-30	4 7 0					4													7			0										11	1:2
100287	2011-12-01	5 6 9						5											6													9	20	2:1
100288	2011-12-02	8 6 7									8								6											7			21	1:2
100289	2011-12-03	4 3 8					4									3															8		15	1:2
100290	2011-12-05	2 2 4			2										2												4						8	0:3
100291	2011-12-06	3 6 6				3													6										6				15	1:2
100292	2011-12-07	7 3 6								7						3													6				16	2:1
100293	2011-12-08	4 6 2					4												6						2								12	0:3
100294	2011-12-09	4 3 4					4									3											4						11	1:2
100295	2011-12-10	6 3 0							6							3							0										9	1:2
100296	2011-12-12	3 8 2				3															8				2								13	1:2
100297	2011-12-13	3 9 5				3																9						5					17	3:0
100298	2011-12-14	0 8 5	0																		8							5					13	1:2
100299	2011-12-15	3 5 5				3												5										5					13	3:0
100300	2011-12-16	3 0 0				3							0										0										3	1:2
100301	2011-12-17	0 9 6	0																			9							6				15	1:2
100302	2011-12-19	2 3 2			2											3									2								7	1:2
100303	2011-12-20	1 5 0		1														5					0										6	2:1
100304	2011-12-21	5 5 2						5										5							2								12	2:1
100305	2011-12-22	5 7 6						5												7									6				18	2:1
100306	2011-12-23	4 6 4					4												6								4						14	0:3
100307	2011-12-24	9 5 7										9						5												7			21	3:0
100308	2011-12-26	2 9 7			2																	9								7			18	2:1
100309	2011-12-27	1 6 1		1															6					1									8	2:1
100310	2011-12-28	7 4 0								7							4						0										11	1:2
100311	2011-12-29	5 0 0						5					0										0										5	1:2
100312	2011-12-30	4 9 8					4															9									8		21	1:2
100313	2011-12-31	8 0 9									8		0																			9	17	1:2
101001	2012-01-02	0 0 1	0										0											1									1	1:2
101002	2012-01-03	9 2 2										9			2										2								13	1:2
101003	2012-01-04	2 3 3			2											3										3							8	2:1
101004	2012-01-05	4 7 0					4													7			0										11	1:2
101005	2012-01-06	3 6 6				3													6										6				15	1:2
101006	2012-01-07	1 1 5		1										1														5					7	3:0
101007	2012-01-09	4 2 6					4								2														6				12	0:3
101008	2012-01-10	6 7 9							6											7												9	22	2:1
101009	2012-01-11	0 5 4	0															5									4						9	1:2
101010	2012-01-12	5 8 7						5													8									7			20	2:1
101011	2012-01-13	4 0 4					4						0														4						8	0:3
101012	2012-01-14	8 7 1									8									7				1									16	2:1
101013	2012-01-16	2 3 3			2											3										3							8	2:1
101014	2012-01-17	7 9 3								7												9				3							19	3:0
101015	2012-01-18	7 7 9								7										7												9	23	3:0
101016	2012-01-19	4 9 9					4															9										9	22	2:1
101017	2012-01-20	0 9 1	0																			9		1									10	2:1
101018	2012-01-21	3 9 0				3																9	0										12	2:1
101019	2012-01-23	3 1 6				3								1															6				10	2:1
101020	2012-01-24	9 3 2										9				3									2								14	2:1
101021	2012-01-25	3 8 3				3															8					3							14	2:1
101022	2012-01-26	1 9 7		1																		9								7			17	3:0
101023	2012-01-27	9 1 8										9		1																	8		18	2:1
101024	2012-01-28	4 3 9					4									3																9	16	2:1
101025	2012-01-30	2 8 8			2																8										8		18	0:3
101026	2012-01-31	1 3 3		1												3										3							7	3:0
101027	2012-02-01	5 9 4						5														9					4						18	2:1
101028	2012-02-02	4 9 0					4															9	0										13	1:2
101029	2012-02-03	1 2 1		1											2									1									4	2:1
101030	2012-02-04	7 9 0								7												9	0										16	2:1
101031	2012-02-06	0 7 5	0																	7								5					12	2:1
101032	2012-02-07	9 9 3										9										9				3							21	3:0
101033	2012-02-08	0 9 6	0																			9							6				15	1:2
101034	2012-02-09	9 9 2										9										9			2								20	2:1
101035	2012-02-10	9 3 8										9				3															8		20	2:1
101036	2012-02-11	2 7 3			2															7						3							12	2:1
101037	2012-02-13	0 6 7	0																6											7			13	1:2
101038	2012-02-14	6 6 0							6										6				0										12	0:3
101039	2012-02-15	0 2 8	0												2																8		10	0:3
101040	2012-02-16	2 7 4			2															7							4						13	1:2
101041	2012-02-17	5 6 0						5											6				0										11	1:2
101042	2012-02-18	9 0 2										9	0												2								11	1:2
101043	2012-02-20	5 2 4						5							2												4						11	1:2
101044	2012-02-21	6 3 8							6							3															8		17	1:2
101045	2012-02-22	1 8 2		1																	8				2								11	1:2
101046	2012-02-23	6 2 5							6						2													5					13	1:2
101047	2012-02-24	2 9 6			2																	9							6				17	1:2
101048	2012-02-25	8 8 1									8										8			1									17	1:2
101049	2012-02-27	6 1 1							6					1										1									8	2:1
101050	2012-02-28	2 3 4			2											3											4						9	1:2
101051	2012-02-29	2 3 9			2											3																9	14	2:1
101052	2012-03-01	4 6 6					4												6										6				16	0:3
101053	2012-03-02	6 8 1							6												8			1									15	1:2
101054	2012-03-03	2 8 7			2																8									7			17	1:2
101055	2012-03-05	0 1 2	0											1											2								3	1:2
101056	2012-03-06	8 5 3									8							5								3							16	2:1
101057	2012-03-07	8 2 3									8				2											3							13	1:2
101058	2012-03-08	6 0 8							6				0																		8		14	0:3
101059	2012-03-09	4 5 9					4											5														9	18	2:1
101060	2012-03-10	0 0 8	0										0																		8		8	0:3
101061	2012-03-12	4 0 3					4						0													3							7	1:2
101062	2012-03-13	6 0 7							6				0																	7			13	1:2
101063	2012-03-14	8 8 5									8										8							5					21	1:2
101064	2012-03-15	5 7 5						5												7								5					17	3:0
101065	2012-03-16	5 0 1						5					0											1									6	2:1
101066	2012-03-17	1 2 2		1											2										2								5	1:2
101067	2012-03-19	5 2 3						5							2											3							10	2:1
101068	2012-03-20	5 3 2						5								3									2								10	2:1
101069	2012-03-21	0 6 1	0																6					1									7	1:2
101070	2012-03-22	5 5 9						5										5														9	19	3:0
101071	2012-03-23	1 3 7		1												3														7			11	3:0
101072	2012-03-24	1 6 8		1															6												8		15	1:2
101073	2012-03-26	3 3 8				3										3															8		14	2:1
101074	2012-03-27	7 7 8								7										7											8		22	2:1
101075	2012-03-28	1 5 5		1														5										5					11	3:0
101076	2012-03-29	8 2 7									8				2															7			17	1:2
101077	2012-03-30	3 8 2				3															8				2								13	1:2
101078	2012-03-31	1 2 0		1											2								0										3	1:2
101079	2012-04-02	1 8 5		1																	8							5					14	2:1
101080	2012-04-03	2 8 7			2																8									7			17	1:2
101081	2012-04-04	0 6 5	0																6									5					11	1:2
101082	2012-04-05	2 3 7			2											3														7			12	2:1
101083	2012-04-06	3 8 5				3															8							5					16	2:1
101084	2012-04-07	3 2 8				3									2																8		13	1:2
101085	2012-04-09	8 0 8									8		0																		8		16	0:3
101086	2012-04-10	1 7 4		1																7							4						12	2:1
101087	2012-04-11	0 7 1	0																	7				1									8	2:1
101088	2012-04-12	5 8 9						5													8											9	22	2:1
101089	2012-04-13	4 2 4					4								2												4						10	0:3
101090	2012-04-14	6 8 8							6												8										8		22	0:3
101091	2012-04-16	8 5 8									8							5													8		21	1:2
101092	2012-04-17	1 4 4		1													4										4						9	1:2
101093	2012-04-18	6 4 5							6								4											5					15	1:2
101094	2012-04-19	5 1 8						5						1																	8		14	2:1
101095	2012-04-20	5 7 4						5												7							4						16	2:1
101096	2012-04-21	6 7 6							6											7									6				19	1:2
101097	2012-04-23	2 2 9			2										2																	9	13	1:2
101098	2012-04-24	3 9 1				3																9		1									13	3:0
101099	2012-04-25	2 6 4			2														6								4						12	0:3
101100	2012-04-26	8 7 2									8									7					2								17	1:2
101101	2012-04-27	9 7 8										9								7											8		24	2:1
101102	2012-04-28	6 3 8							6							3															8		17	1:2
101103	2012-04-30	9 2 8										9			2																8		19	1:2
101104	2012-05-01	5 0 2						5					0												2								7	1:2
101105	2012-05-02	9 4 4										9					4										4						17	1:2
101106	2012-05-03	0 6 6	0																6										6				12	0:3
101107	2012-05-04	9 7 3										9								7						3							19	3:0
101108	2012-05-05	0 2 0	0												2								0										2	0:3
101109	2012-05-07	6 3 9							6							3																9	18	2:1
